ID,all_k,rural_k,urban_k,beta
P01,0.83641488601947,0.246165135227842,1.16131315692505,4.28913653922782
P02,0.361847092828641,0.268627727519324,0.45076201797011,6.07384155417752
P03,0.148099162883017,0.149943300578255,0.154176411751661,5.91094191412832
P04,0.1447512391454,0.613194928164578,0.234063980505519,4.3043429664965
P05,1.00425116326824,0.859107381833813,1.2224543804235,4.76011981107682
P06,0.284648254951985,0.458894925154303,0.374065837494671,4.2719584851165
P07,0.381166728858582,0.506545400320543,1.25107883511066,3.42356571028352
P08,0.148110997902391,0.149938670597347,0.154163715300201,5.91104806428659
P09,1.20812144248822,0.582935032635748,1.27909592982976,5.11581725056615
P100,0.149743039609442,0.367011037898339,0.155763457265376,6.21095065866976
P101,0.750666081751939,0.713789703831978,0.723950189503081,3.11934753583615
P102,0.273947965474816,1.09330054502918,0.35602833591346,3.56330953374663
P103,0.149667233376206,0.151601422706441,0.364734410290682,6.19724958815565
P104,0.842970569198881,0.232452677395233,0.63003663199735,1.41397918894243
P105,0.696686618078926,0.871084752164606,0.884402134282279,1.36949489813968
P106,0.301611056422663,0.534172086287902,0.408222486780804,5.50328396362082
P107,0.31584958675023,0.255692015342834,0.2537462464419,2.02108132331733
P108,0.260136074435928,0.451615301234412,0.15371511016515,5.82240422178084
P109,0.266508762028549,0.396843338296276,0.370740250267755,6.28792714579789
P110,0.148085932434962,0.149942072110374,0.154196064072248,5.91078142248228
P111,0.131310953742408,0.484392939686883,0.338483121951949,3.41391259718276
P112,1.32340109219925,1.41205870520382,0.705130866250249,5.89901375249882
P113,0.161365391287635,0.148791274602705,0.168978902713177,5.71832491447352
P114,0.358900445331011,0.404522980853766,0.702531015472462,6.13243100547357
P115,0.263282032416078,0.366090613537775,1.39214500002814,6.11725043450808
P116,0.232551053646124,0.137547423255477,0.905577746449587,4.0721312379766
P117,0.133942716844157,0.317811757738212,0.138457207767971,3.46818583892689
P118,0.887890675153115,0.722092357403269,0.810167331442306,4.20662310673141
