model_name,model_index,lme,bicint,xp,pseudoR2,choiceProbMedianR2,relbic
ms_three_k_one_beta,1,-3762.06864496392,7405.22813726986,0,0.485670127047714,0.754908197073496,152.853101799445
ms_three_k_one_beta_linear,2,-3727.46087050752,7326.87419122888,0,0.472920521859327,0.794647580466386,74.4991557584626
ms_three_k_one_beta_hyperbolic,3,-3683.57162565001,7252.37503547042,1,0.500559749756191,0.751796125462853,0
ms_three_k_three_beta,4,-3813.75899139176,7549.21851721,0,0.535102692697075,0.774976168498432,296.843481739576
ms_three_k_three_beta_linear,5,-3783.29764049109,7483.14821540858,0,0.538343788291359,0.785943106100626,230.773179938159
ms_three_k_three_beta_hyperbolic,6,-3728.89176075885,7379.82549222397,0,0.528140142402498,0.731326889354139,127.450456753556
