model_name,model_index,lme,bicint,xp,pseudoR2,choiceProbMedianR2,relbic
ms_two_k_one_beta,1,-5681.29183854008,11145.3856301864,0.008262,0.469850758702968,0.756897478003108,164.886724276668
ms_two_k_one_beta_linear,2,-5635.40738826546,11059.9630536222,0,0.453506452352537,0.755341990322579,79.4641477125024
ms_two_k_one_beta_hyperbolic,3,-5593.1577180682,10980.4989059097,0.991329,0.470663265184039,0.706860583143714,0
ms_two_k_two_beta,4,-5711.09651504752,11219.6137322764,0,0.506077341674352,0.754739179573618,239.114826366704
ms_two_k_two_beta_linear,5,-5670.7789076559,11155.9515076169,0,0.502825278917592,0.755235417806464,175.452601707211
ms_two_k_two_beta_hyperbolic,6,-5620.05314208137,11056.8605729153,0.000409,0.484720010401548,0.699812410992049,76.3616670055635
