parameter,pearson_r,pearson_p,spearman_r,spearman_p
k_agent1,0.808048356167209,0,0.804619914376353,0
k_agent2,0.818774915186112,0,0.823958456573238,0
k_agent3,0.8058040972771,0,0.814650633785572,0
beta,0.813136018392008,0,0.79707973014244,0
