simulated_model,round,estimated_model,sumLME,bicint,relBIC,xp,winner_by_BIC,winner_by_XP
ms_three_k_one_beta,1,ms_three_k_one_beta,-603.41966327551,1227.40015795132,0,1,1,1
ms_three_k_one_beta,1,ms_three_k_one_beta_linear,-645.207003536662,1297.17715010225,69.7769921509259,0,0,0
ms_three_k_one_beta,1,ms_three_k_one_beta_hyperbolic,-640.613112113956,1308.81160299179,81.4114450404697,0,0,0
ms_three_k_one_beta,1,ms_three_k_three_beta,-616.541510557648,1270.49513346661,43.0949755152833,0,0,0
ms_three_k_one_beta,1,ms_three_k_three_beta_linear,-651.780999874716,1339.56393354284,112.163775591521,0,0,0
ms_three_k_one_beta,1,ms_three_k_three_beta_hyperbolic,-649.269551031426,1340.15288300931,112.752725057982,0,0,0
ms_three_k_one_beta,2,ms_three_k_one_beta,-732.456940267428,1471.33571036975,0,1,1,1
ms_three_k_one_beta,2,ms_three_k_one_beta_linear,-780.97802951163,1551.8082921785,80.472581808747,0,0,0
ms_three_k_one_beta,2,ms_three_k_one_beta_hyperbolic,-789.087982639442,1589.07479119061,117.739080820851,0,0,0
ms_three_k_one_beta,2,ms_three_k_three_beta,-818.390051118403,1638.62900814415,167.293297774392,0,0,0
ms_three_k_one_beta,2,ms_three_k_three_beta_linear,-807.025441308939,1651.33697042297,180.00126005322,0,0,0
ms_three_k_one_beta,2,ms_three_k_three_beta_hyperbolic,-822.742954389761,1672.22488495801,200.889174588254,0,0,0
ms_three_k_one_beta,3,ms_three_k_one_beta,-651.603499595967,1316.58193562259,0,1,1,1
ms_three_k_one_beta,3,ms_three_k_one_beta_linear,-697.87010870676,1411.93813075778,95.3561951351926,0,0,0
ms_three_k_one_beta,3,ms_three_k_one_beta_hyperbolic,-701.485774409091,1418.67861677277,102.096681150183,0,0,0
ms_three_k_one_beta,3,ms_three_k_three_beta,-678.863692308736,1409.47482171361,92.8928860910205,0,0,0
ms_three_k_one_beta,3,ms_three_k_three_beta_linear,-709.03420182606,1443.67702530717,127.095089684582,0,0,0
ms_three_k_one_beta,3,ms_three_k_three_beta_hyperbolic,-718.157660370445,1485.0382988314,168.456363208812,0,0,0
ms_three_k_one_beta,4,ms_three_k_one_beta,-615.838691362198,1231.52345752367,0,1,1,1
ms_three_k_one_beta,4,ms_three_k_one_beta_linear,-637.652762971222,1278.52822063809,47.0047631144182,0,0,0
ms_three_k_one_beta,4,ms_three_k_one_beta_hyperbolic,-633.473495263548,1285.86646703739,54.3430095137178,0,0,0
ms_three_k_one_beta,4,ms_three_k_three_beta,-637.782808822169,1292.27712540809,60.7536678844178,0,0,0
