ID,true_all_k,true_rural_k,true_urban_k,true_beta,recovered_all_k,recovered_rural_k,recovered_urban_k,recovered_beta
sim_001,0.0382155468846218,0.0750576233686647,0.0576406073317348,0.0262199662669758,0.724472710704336,0.34151127341386,0.443929533561522,1.91245266640479
sim_002,0.269750237308423,0.0280460240407491,0.00153769281627315,0.0447995941227881,0.531096086555719,0.490461837871333,0.484774436210619,0.892791750634276
sim_003,0.548250409646781,0.0101502382752337,0.0184880969050683,0.0308594799502686,0.887143026160227,0.677633829231332,0.506802440351996,2.25048857052936
sim_004,0.910070486831379,0.0910526964105482,0.0135823355767327,0.0197860816257965,0.419660646124422,0.646276436508722,0.642653960284998,0.980451857517808
sim_005,0.0333988543342842,0.277961121089724,0.0168400519081259,0.00804715834517915,0.637916946803201,0.424037293031435,0.526215837257454,2.05787859558617
sim_006,0.283825643604123,0.25664540710195,0.0521837002819576,0.0628785945948872,0.450473920490511,0.482359871844648,0.957518083147778,1.91279162908246
sim_007,0.666716793887398,0.41326431267097,0.0548737337963879,0.0112450531223883,0.548875263917254,0.292742533109045,0.578077548107276,1.33304299602748
sim_008,0.931071370119168,0.240342155290373,0.0486464792004484,0.031519532065307,0.580758002236041,0.560695135979408,0.493867599084298,1.13183063396004
sim_009,0.0282187082219766,0.545787579858714,0.0324052734362417,0.0199914182118292,0.63334333703269,0.579901681969935,0.604921836429036,0.855350382235804
sim_010,0.293312782070608,0.574810973950231,0.110059094481896,0.0716900981643856,0.340560544254762,0.480412979765701,0.677398607328344,1.73267529989845
sim_011,0.516214092335385,0.635018478752881,0.0800395651104406,0.127545551582804,0.876506771646348,0.424390484490129,0.709128036752182,1.63328438046876
sim_012,0.882566691926864,0.527854281891094,0.00660564880508274,0.0535294208124662,0.846962628624278,0.618296641851954,0.437578039771454,3.14301890324768
sim_013,0.0422790382463201,0.938474058986243,0.0507068040413351,0.0454625400113223,0.80285889818288,0.425706030739577,0.507654042259372,1.55444077122437
sim_014,0.254453017461841,0.957935339205187,0.0144983425336735,0.0111405750316929,0.362805765810928,0.800979041026602,0.540465634018858,2.23370005119272
sim_015,0.576852820547885,0.915287915681795,0.0124236863950272,0.0244460000878805,0.508685705461423,0.544178944748421,0.434918278578358,1.23183378545697
sim_016,0.906137109071923,0.954833791735606,0.0152857730261398,0.0208673243670839,0.654081124860108,0.255188243213871,0.571983545769263,1.14779495775717
sim_017,0.00450188920600925,0.0143405744666264,0.368013931459116,0.123917109702493,0.564902157472887,0.730401556034492,0.561466902480253,1.80627079364173
sim_018,0.315995401459349,0.0478239062459105,0.295070086699404,0.0313759712412812,0.564085988154157,0.457492355795944,0.964315254708482,3.07092756938166
sim_019,0.65317663626273,0.0453942360463645,0.329696059962779,0.0643636926513029,0.476363856741899,0.56688655045418,0.671670726475068,1.8513668536219
sim_020,0.94505358872933,0.0381481367253346,0.246994642924415,0.124532703152585,0.844882296687906,0.32063735476803,0.457814070801337,1.39279195087878
sim_021,0.0143618541279322,0.415871629055452,0.343107642397862,0.00642739636812188,0.614177052171319,0.319287817931129,0.706793138642369,1.38508959758024
sim_022,0.331017731361559,0.310340590675222,0.22968612233714,0.0323806192243959,0.62990410915937,0.745305207968017,0.909557359458912,1.45264703520854
sim_023,0.567734712112288,0.302224046673899,0.32137807148265,0.00454820612786972,1.0383867243796,0.392920914352867,1.04489039279781,2.3706392074807
