ID,true_rural_k,true_urban_k,true_beta,recovered_rural_k,recovered_urban_k,recovered_beta
sim_001,0.0382155468846218,0.000337282255974662,0.0431956089982693,1.01696802988088,0.506812876898231,2.44134294492437
sim_002,0.269750237308423,0.0366310029050312,0.0280059460427715,0.413377544666865,0.507763983105003,1.96631650133652
sim_003,0.548250409646781,0.0545478921036664,0.0126832740928664,0.673159308999335,0.714591508576727,1.32187687231045
sim_004,0.910070486831379,0.105739883308899,0.0533770516247548,0.734366005742244,0.606413760842831,2.771792775869
sim_005,0.0333988543342842,0.306281186702542,0.0577793605055034,0.815479627741452,0.936567507159096,2.36482331674388
sim_006,0.283825643604123,0.32060867868462,0.00952977215438975,0.643178789357074,0.768427405719272,1.33917237531859
sim_007,0.666716793887398,0.259736232728317,0.0541354836931706,0.526475301071083,0.718523726254787,1.26989174754056
sim_008,0.931071370119168,0.369724924986035,0.0166776874041334,0.337849086713689,0.56724220428944,1.72474129262313
sim_009,0.0282187082219766,0.591415661383588,0.0277680879829353,0.698675319907839,0.342728071118793,1.31268092988315
sim_010,0.293312782070608,0.561232486459447,0.0374132744268731,0.641021474698465,0.522682046994635,1.48416072823994
sim_011,0.516214092335385,0.593995911074245,0.0278693234333313,0.500498705132951,0.722319131950839,0.977181544652746
sim_012,0.882566691926864,0.669523069159909,0.127185354560144,0.90440508550897,0.567991161435359,2.71938593334836
sim_013,0.0422790382463201,0.880733080580373,0.023792453347851,0.810253125129745,0.566093800544818,2.5536737483772
sim_014,0.254453017461841,0.922732279360212,0.045640236815094,0.376283975225486,0.813760292851343,1.1998634917408
sim_015,0.576852820547885,0.951099424866507,0.00892338104469301,0.757882103325075,0.279675351919388,2.02177782332954
sim_016,0.906137109071923,0.868020902342684,0.0602338510395461,0.26987400971376,0.812320454620396,1.47083859214697
sim_017,0.00450188920600925,0.0259619901584937,1.02856264414455,0.403380260302943,0.249998130942601,3.24350786396149
sim_018,0.315995401459349,0.0909330916241649,0.954684082700855,0.485864257081495,0.286441070802538,6.61460483703051
sim_019,0.65317663626273,0.0284366719390424,0.965860283393718,0.40509348827845,0.186475839231451,5.58512357353908
sim_020,0.94505358872933,0.101996963551557,0.986025260437901,0.620375020741963,0.247060854474679,3.08788758799744
sim_021,0.0143618541279322,0.178033077682778,0.976664250393626,0.479926973518236,0.366041627262449,2.52656466368332
sim_022,0.331017731361559,0.285988601216403,1.05423267415774,0.504819758567383,0.36789738065999,3.51489182817249
sim_023,0.567734712112288,0.300276305320716,0.941854935206074,0.585052272330701,0.357243636753037,3.24388483001293
sim_024,0.881747382043471,0.228513353611999,1.00674315331796,0.699083205431691,0.263953359637034,4.10989534898021
sim_025,0.0271582949005807,0.641633945057656,1.07595325829504,0.18806463534126,0.527210306604139,5.00073966736401
sim_026,0.214612078497978,0.555885298857991,1.00866470328399,0.425810379748506,0.582245875470319,2.9094444805374
sim_027,0.596768303670724,0.584512915872597,1.04446148428523,0.717042359372051,0.793069343835054,6.43042895370634
sim_028,0.893466125375551,0.507780995532869,1.05652541954501,0.697663380373668,0.801144304015766,2.96392692730357
sim_029,0.0748553572688317,0.833953873908925,0.985975779541836,0.181046714463496,0.382587327356242,2.80200082641818
sim_030,0.369402466770995,0.852475982965172,1.04042696540243,0.496763861727795,0.645336463111664,1.70711033662286
sim_031,0.600270851296474,0.872730473183017,0.972131810279512,0.768534084222893,0.695282547584654,1.76981500938436
sim_032,0.920572977495912,0.927109392681895,0.991571555204758,0.793111092704509,0.968877644068273,2.66677903786144
