parameter,pearson_r,pearson_p,spearman_r,spearman_p
k_agent1,0.786632881153367,0,0.793744221879815,0
k_agent2,0.823550901374975,0,0.831778560422628,0
beta,0.778353450943072,0,0.763678186220559,0
