simulated_model,round,estimated_model,sumLME,bicint,relBIC,xp,winner_by_BIC,winner_by_XP
ms_two_k_one_beta,8,ms_two_k_two_beta_linear,-454.551031346336,917.541979877249,57.5123096378834,0,0,0
ms_two_k_one_beta,8,ms_two_k_two_beta_hyperbolic,-460.630756781156,940.590461693034,80.5607914536679,0,0,0
ms_two_k_one_beta,9,ms_two_k_one_beta,-447.811360612755,900.832598014995,0,0.997356,1,1
ms_two_k_one_beta,9,ms_two_k_one_beta_linear,-459.423463165936,933.964500335342,33.1319023203473,0.002643,0,0
ms_two_k_one_beta,9,ms_two_k_one_beta_hyperbolic,-463.730224090716,944.815897719421,43.983299704426,1e-06,0,0
ms_two_k_one_beta,9,ms_two_k_two_beta,-484.681790681538,933.10176562791,32.2691676129152,0,0,0
ms_two_k_one_beta,9,ms_two_k_two_beta_linear,-469.541358838458,959.865245381757,59.0326473667621,0,0,0
ms_two_k_one_beta,9,ms_two_k_two_beta_hyperbolic,-474.06302382672,971.602071205078,70.7694731900837,0,0,0
ms_two_k_one_beta,10,ms_two_k_one_beta,-399.906290299358,807.094509700467,0,0.200314,1,0
ms_two_k_one_beta,10,ms_two_k_one_beta_linear,-429.168317389612,855.759627508682,48.665117808215,0,0,0
ms_two_k_one_beta,10,ms_two_k_one_beta_hyperbolic,-428.083609941392,873.230158382176,66.135648681709,0,0,0
ms_two_k_one_beta,10,ms_two_k_two_beta,-399.542914139088,831.836851082667,24.7423413821999,0.799686,0,1
ms_two_k_one_beta,10,ms_two_k_two_beta_linear,-428.534790598711,862.512126670497,55.4176169700296,0,0,0
ms_two_k_one_beta,10,ms_two_k_two_beta_hyperbolic,-432.03178574443,893.146698207242,86.0521885067747,0,0,0
ms_two_k_one_beta_linear,1,ms_two_k_one_beta,-741.1677215145,1455.14850092603,99.12781767253,0,0,0
ms_two_k_one_beta_linear,1,ms_two_k_one_beta_linear,-688.173290113511,1356.0206832535,0,1,1,1
ms_two_k_one_beta_linear,1,ms_two_k_one_beta_hyperbolic,-704.069978970309,1391.57471865088,35.554035397382,0,0,0
ms_two_k_one_beta_linear,1,ms_two_k_two_beta,-775.775309554362,1486.21456044886,130.193877195359,0,0,0
ms_two_k_one_beta_linear,1,ms_two_k_two_beta_linear,-706.301491091333,1401.33076795818,45.310084704678,0,0,0
ms_two_k_one_beta_linear,1,ms_two_k_two_beta_hyperbolic,-720.830613931509,1428.92381542245,72.9031321689504,0,0,0
ms_two_k_one_beta_linear,2,ms_two_k_one_beta,-703.951837695183,1385.30962233424,100.302058678657,0,0,0
ms_two_k_one_beta_linear,2,ms_two_k_one_beta_linear,-648.634831987566,1285.00756365558,0,0.994089,1,1
ms_two_k_one_beta_linear,2,ms_two_k_one_beta_hyperbolic,-651.893080430285,1298.31587933145,13.3083156758687,0.005911,0,0
